,bairro,aluguel,iptu,m2,dormitorios,vagas,banheiros
0,Moema,13500.0,2000.0, 190,3,4,5
1,Moema,10000.0,1025.0, 140,3,2,4
2,Moema,6525.0,1880.0, 217,4,3,4
3,Moema,6500.0,400.0, 80,2,2,2
4,Moema,1700.0,162.0, 40,1,1,1
5,Moema,2700.0,150.0, 66,2,1,2
6,Moema,2500.0,222.0, 50,1,1,1
7,Moema,4393.0,163.0, 108,2,1,2
8,Moema,2100.0,120.0, 45,1,1,1
9,Moema,6500.0,400.0, 70,2,1,2
10,Moema,3800.0,140.0, 100,2,1,2
11,Moema,4200.0,330.0, 55,1,1,1
12,Moema,3600.0,166.0, 60,2,1,2
13,Moema,2850.0,120.0, 42,1,1,1
14,Moema,1900.0,59.0, 40,1,1,1
15,Moema,3427.0,135.0, 48,1,1,2
16,Moema,4000.0,325.0, 56,1,1,2
17,Moema,3500.0,17.0, 44,1,1,1
18,Moema,5000.0,280.0, 74,2,2,1
19,Moema,5000.0,286.0, 72,2,1,1
20,Moema,2150.0,350.0, 60,1,1,2
21,Moema,4210.0,272.0, 52,1,1,1
22,Moema,3640.0,110.0, 48,1,1,2
23,Moema,6500.0,477.0, 100,3,2,4
24,Moema,16000.0,1370.0, 210,4,4,5
25,Moema,6485.0,400.0, 80,2,2,2
26,Moema,2950.0,150.0, 87,2,1,2
27,Moema,7176.0,328.0, 81,2,2,2
28,Moema,3500.0,200.0, 68,2,1,2
29,Moema,3800.0,217.0, 48,1,1,1
30,Moema,4500.0,372.0, 127,3,1,3
31,Moema,2900.0,350.0, 45,1,1,2
32,Moema,4978.0,286.0, 70,2,1,2
33,Moema,3300.0,200.0, 89,2,1,3
34,Moema,7733.0,550.0, 150,3,3,2
35,Moema,4600.0,351.0, 70,2,1,1
36,Moema,4900.0,387.0, 72,2,2,2
37,Moema,4800.0,395.0, 74,2,2,2
38,Moema,2600.0,186.0, 41,1,1,1
39,Moema,2600.0,205.0, 77,2,2,2
40,Moema,13500.0,2000.0, 190,3,4,5
41,Moema,7000.0,714.0, 158,4,2,4
42,Moema,3200.0,247.0, 100,3,2,2
43,Moema,5000.0,125.0, 155,4,3,4
44,Moema,6977.0,602.0, 127,3,3,4
45,Moema,5000.0,218.0, 77,2,1,2
46,Moema,2500.0,157.0, 45,1,1,1
47,Moema,2700.0,175.0, 45,1,1,1
48,Moema,2750.0,138.0, 45,1,1,1
49,Moema,6800.0,635.0, 124,1,2,2
50,Moema,6500.0,400.0, 69,1,2,2
51,Moema,6000.0,328.0, 78,1,1,1
52,Moema,7999.0,1100.0, 110,3,3,4
53,Moema,3500.0,312.0, 67,2,2,3
54,Moema,7738.0,550.0, 150,3,3,2
55,Moema,3500.0,374.0, 67,2,2,3
56,Moema,6000.0,500.0, 100,3,1,2
57,Moema,4500.0,266.0, 74,2,1,1
58,Moema,3000.0,369.0, 86,2,1,2
59,Moema,7726.0,550.0, 150,3,3,2
60,Moema,8500.0,1051.0, 109,3,3,5
61,Moema,2600.0,54.0, 45,1,1,1
62,Moema,3000.0,131.0, 100,1,1,1
63,Moema,14000.0,1370.0, 210,4,4,3
64,Moema,4500.0,166.0, 100,3,1,2
65,Moema,4200.0,70.0, 59,2,1,2
66,Moema,5278.0,355.0, 92,2,2,2
67,Moema,2550.0,51.0, 37,1,1,1
68,Moema,10000.0,1125.0, 140,3,2,4
69,Moema,4284.0,357.0, 94,2,2,2
70,Moema,5700.0,260.0, 100,2,1,3
71,Moema,2400.0,160.0, 82,2,1,1
72,Moema,3800.0,173.0, 80,2,1,1
73,Moema,6476.0,400.0, 80,2,2,2
74,Moema,3490.0,350.0, 70,2,1,3
75,Moema,4600.0,168.0, 48,1,1,2
76,Moema,4000.0,161.0, 41,1,1,1
77,Moema,2200.0,177.0, 45,1,1,1
78,Moema,3600.0,105.0, 65,2,1,2
79,Moema,8000.0,500.0, 93,3,2,3
80,Moema,7500.0,324.0, 70,1,1,1
81,Moema,4500.0,330.0, 55,1,1,2
82,Moema,2800.0,115.0, 38,1,1,1
83,Moema,13500.0,600.0, 150,3,2,4
84,Moema,30000.0,2000.0, 244,3,4,4
85,Moema,5750.0,42.0, 80,2,1,2
86,Moema,5500.0,210.0, 51,1,1,2
87,Moema,5500.0,550.0, 112,2,2,4
88,Moema,3000.0,188.0, 92,2,1,1
89,Moema,3500.0,264.0, 85,3,1,2
90,Moema,5000.0,109.0, 49,1,1,2
91,Moema,3200.0,384.0, 100,2,2,1
92,Moema,3000.0,200.0, 50,1,1,1
93,Moema,2800.0,130.0, 45,1,1,2
94,Moema,2830.0,350.0, 50,1,1,1
95,Moema,4000.0,135.0, 41,1,1,1
96,Moema,1800.0,114.0, 52,1,1,1
97,Moema,4500.0,267.0, 55,1,1,2
98,Moema,4500.0,267.0, 78,2,2,3
99,Moema,5100.0,395.0, 72,2,2,2
100,Moema,3300.0,160.0, 36,1,1,1
101,Moema,6000.0,379.0, 70,2,1,3
