,bairro,aluguel,iptu,m2,dormitorios,vagas,banheiros
0,Tatuape,1700.0,51.0, 60,2,1,1
1,Tatuape,3750.0,1834.0, 300,4,4,4
2,Tatuape,2000.0,1050.0, 50,2,1,1
3,Tatuape,3500.0,21.0, 74,3,2,2
4,Tatuape,2100.0,160.0, 45,1,1,1
5,Tatuape,3500.0,47.0, 74,1,1,2
6,Tatuape,2350.0,180.0, 34,1,1,1
7,Tatuape,1800.0,170.0, 38,1,1,1
8,Tatuape,3200.0,282.0, 72,3,2,2
9,Tatuape,4500.0,500.0, 105,3,3,4
10,Tatuape,2850.0,180.0, 64,2,1,1
11,Tatuape,1850.0,133.0, 50,2,1,1
12,Tatuape,3100.0,250.0, 67,2,2,2
13,Tatuape,1500.0,97.0, 55,2,1,2
14,Tatuape,1850.0,155.0, 60,2,1,1
15,Tatuape,2000.0,170.0, 56,2,1,2
16,Tatuape,2000.0,170.0, 56,2,1,2
17,Tatuape,2500.0,252.0, 90,3,2,2
18,Tatuape,1600.0,90.0, 41,1,1,1
19,Tatuape,1800.0,108.0, 46,2,1,1
20,Tatuape,3200.0,268.0, 72,3,2,2
21,Tatuape,1600.0,90.0, 41,1,1,1
22,Tatuape,1650.0,133.0, 50,2,1,1
23,Tatuape,2500.0,218.0, 54,2,2,2
24,Tatuape,2100.0,213.0, 66,3,2,2
25,Tatuape,2200.0,375.0, 95,2,1,2
26,Tatuape,2350.0,176.0, 45,1,1,1
27,Tatuape,2200.0,135.0, 60,2,1,1
28,Tatuape,3300.0,245.0, 79,3,2,2
29,Tatuape,3200.0,323.0, 75,2,2,2
30,Tatuape,2500.0,200.0, 50,1,1,1
31,Tatuape,6000.0,50.0, 45,1,1,1
32,Tatuape,2200.0,149.0, 63,2,1,2
33,Tatuape,3300.0,245.0, 71,3,2,2
34,Tatuape,3000.0,283.0, 50,1,1,1
35,Tatuape,4200.0,296.0, 80,2,2,2
36,Tatuape,2650.0,270.0, 73,3,1,2
37,Tatuape,3600.0,816.0, 170,4,3,5
38,Tatuape,2700.0,278.0, 66,2,2,1
39,Tatuape,3500.0,260.0, 78,2,2,2
40,Tatuape,1950.0,110.0, 70,2,1,2
41,Tatuape,3100.0,283.0, 73,3,2,1
42,Tatuape,2700.0,207.0, 84,3,1,2
43,Tatuape,2900.0,300.0, 82,3,2,2
44,Tatuape,1600.0,210.0, 48,2,1,1
45,Tatuape,5000.0,353.0, 89,2,2,2
46,Tatuape,3000.0,251.0, 73,2,1,2
47,Tatuape,2200.0,172.0, 38,1,1,1
48,Tatuape,1900.0,92.0, 75,3,1,1
49,Tatuape,2500.0,168.0, 70,3,2,3
50,Tatuape,2500.0,200.0, 79,3,2,2
51,Tatuape,3200.0,250.0, 66,2,1,2
52,Tatuape,3200.0,340.0, 67,2,2,2
53,Tatuape,2500.0,53.0, 49,2,1,1
54,Tatuape,1700.0,51.0, 60,2,1,1
55,Tatuape,3750.0,110.0, 60,2,1,2
56,Tatuape,3200.0,290.0, 75,3,2,2
57,Tatuape,3600.0,245.0, 73,3,2,2
58,Tatuape,2500.0,127.0, 53,2,2,2
59,Tatuape,2900.0,185.0, 60,2,1,2
60,Tatuape,11000.0,900.0, 192,3,3,4
61,Tatuape,3200.0,340.0, 67,2,2,2
62,Tatuape,2200.0,168.0, 79,3,2,3
63,Tatuape,2200.0,169.0, 71,3,2,3
64,Tatuape,1900.0,100.0, 59,2,2,1
65,Tatuape,2600.0,140.0, 50,1,1,1
66,Tatuape,2500.0,400.0, 85,3,2,3
67,Tatuape,2200.0,303.0, 70,2,1,2
68,Tatuape,2000.0,130.0, 52,2,1,1
69,Tatuape,2300.0,160.0, 45,1,1,1
70,Tatuape,3300.0,220.0, 72,3,2,3
71,Tatuape,3000.0,283.0, 50,1,1,1
72,Tatuape,4900.0,734.0, 106,3,3,3
73,Tatuape,2700.0,250.0, 90,2,2,1
74,Tatuape,3000.0,150.0, 63,2,2,2
75,Tatuape,2790.0,330.0, 93,3,2,3
76,Tatuape,2700.0,350.0, 86,3,2,3
77,Tatuape,1800.0,114.0, 41,1,1,1
78,Tatuape,2500.0,168.0, 71,3,2,3
79,Tatuape,3700.0,294.0, 74,3,2,2
80,Tatuape,3350.0,95.0, 60,2,1,1
81,Tatuape,2000.0,75.0, 62,2,1,2
82,Tatuape,2806.0,42.0, 45,1,1,1
83,Tatuape,2350.0,70.0, 68,2,1,2
84,Tatuape,3400.0,230.0, 128,3,3,3
85,Tatuape,3700.0,54.0, 74,2,1,1
86,Tatuape,2500.0,359.0, 85,3,2,2
87,Tatuape,3750.0,110.0, 55,2,1,2
88,Tatuape,2850.0,300.0, 68,2,2,2
89,Tatuape,3200.0,282.0, 72,3,2,2
90,Tatuape,1900.0,73.0, 50,2,1,1
91,Tatuape,1750.0,167.0, 55,2,1,1
92,Tatuape,3700.0,54.0, 74,2,1,1
93,Tatuape,2600.0,70.0, 52,2,1,1
94,Tatuape,3750.0,110.0, 60,2,1,2
95,Tatuape,2200.0,68.0, 52,2,1,2
96,Tatuape,3400.0,740.0, 127,3,2,3
97,Tatuape,2600.0,195.0, 40,1,1,1
98,Tatuape,1500.0,204.0, 55,2,1,2
99,Tatuape,2200.0,200.0, 37,1,1,1
100,Tatuape,1700.0,300.0, 47,2,1,1
101,Tatuape,3000.0,301.0, 67,2,2,2
102,Tatuape,2700.0,278.0, 66,2,2,1
103,Tatuape,3000.0,500.0, 91,3,2,4
104,Tatuape,1700.0,177.0, 55,2,1,1
105,Tatuape,2250.0,340.0, 62,1,2,1
106,Tatuape,2400.0,51.0, 67,2,1,2
107,Tatuape,2800.0,184.0, 68,1,1,1
108,Tatuape,3000.0,286.0, 58,1,2,1
109,Tatuape,2594.0,147.0, 50,1,1,1
110,Tatuape,3700.0,150.0, 63,2,2,2
111,Tatuape,2700.0,49.0, 67,2,2,2
112,Tatuape,2400.0,160.0, 48,1,1,1
113,Tatuape,1800.0,170.0, 70,2,1,1
114,Tatuape,1300.0,60.0, 50,2,1,1
115,Tatuape,3000.0,150.0, 65,3,1,2
116,Tatuape,8000.0,1100.0, 179,4,3,5
117,Tatuape,4500.0,338.0, 99,3,2,2
118,Tatuape,2700.0,278.0, 66,2,2,1
119,Tatuape,2300.0,160.0, 45,1,1,1
120,Tatuape,2000.0,170.0, 56,2,1,1
121,Tatuape,2100.0,136.0, 63,3,1,2
122,Tatuape,2500.0,52.0, 68,3,1,2
123,Tatuape,3850.0,283.0, 50,1,1,1
124,Tatuape,2200.0,120.0, 69,2,1,2
125,Tatuape,2950.0,301.0, 67,2,2,2
126,Tatuape,3500.0,285.0, 74,3,2,1
127,Tatuape,4500.0,1088.0, 128,3,2,4
128,Tatuape,3500.0,250.0, 103,3,2,3
129,Tatuape,3000.0,180.0, 45,1,1,1
130,Tatuape,2500.0,115.0, 41,1,1,1
131,Tatuape,8000.0,470.0, 142,3,4,2
132,Tatuape,3000.0,257.0, 50,1,1,1
133,Tatuape,2250.0,137.0, 68,2,1,2
134,Tatuape,1700.0,200.0, 90,2,2,1
135,Tatuape,3750.0,1834.0, 300,4,4,4
136,Tatuape,3100.0,300.0, 66,2,2,2
137,Tatuape,1700.0,60.0, 48,1,1,1
138,Tatuape,4300.0,292.0, 75,1,2,2
139,Tatuape,3400.0,270.0, 70,2,1,2
140,Tatuape,2500.0,182.0, 35,1,1,1
141,Tatuape,1920.0,103.0, 70,2,1,1
142,Tatuape,2500.0,219.0, 67,2,2,2
143,Tatuape,4952.0,427.0, 110,3,3,3
144,Tatuape,1990.0,51.0, 68,3,1,1
145,Tatuape,1500.0,110.0, 50,2,1,2
146,Tatuape,3000.0,283.0, 50,1,1,1
147,Tatuape,3033.0,824.0, 114,3,3,2
148,Tatuape,2500.0,160.0, 54,2,1,2
149,Tatuape,2500.0,50.0, 45,1,1,1
150,Tatuape,1350.0,56.0, 45,2,1,1
151,Tatuape,3800.0,290.0, 84,3,2,2
152,Tatuape,2020.0,13.0, 50,2,1,1
153,Tatuape,2800.0,220.0, 67,2,1,2
154,Tatuape,3000.0,185.0, 100,3,2,2
155,Tatuape,2600.0,266.0, 66,2,2,2
156,Tatuape,2300.0,153.0, 65,2,1,2
157,Tatuape,3750.0,110.0, 60,2,1,1
158,Tatuape,2700.0,278.0, 66,2,2,1
159,Tatuape,3750.0,110.0, 60,2,1,2
160,Tatuape,3300.0,112.0, 75,3,2,2
161,Tatuape,1920.0,103.0, 68,2,1,1
162,Tatuape,2500.0,117.0, 90,3,1,2
163,Tatuape,3000.0,389.0, 93,3,2,2
164,Tatuape,1700.0,58.0, 65,2,1,1
165,Tatuape,2500.0,170.0, 54,2,2,2
166,Tatuape,3200.0,280.0, 72,3,2,2
167,Tatuape,1300.0,60.0, 50,2,1,1
168,Tatuape,6200.0,335.0, 130,2,2,3
169,Tatuape,10000.0,1000.0, 182,3,3,4
